Code,Concentration,TimeSM,T,H%,Wind_dir,Wind_vel,UR200,WA200,GR200,IN200,RO200,UR600,WA600,GR600,IN600,RO600,UR1000,WA1000,GR1000,IN1000,RO1000,UR2000,WA2000,GR2000,IN2000,RO2000,UR4000,WA4000,GR4000,IN4000,RO4000,CorIN2,CorOUT2,CorIN6,CorOUT6,CorIN10,CorOUT10,CorIN15,CorOUT15,CorIN30,CorOUT30
PL0012A,254.931,2015-12-31 23:00:00,-10.3,92.0,"Calm, no wind",0.0,60.41,0.0,0.0,9.71,23.16,35.13,6.77,14.95,26.74,12.5,31.95,6.17,19.22,28.8,9.98,33.55,3.96,24.34,21.43,10.04,26.22,2.79,31.08,22.74,8.23,0.8975,0.8975,0.5687500000000001,0.5687500000000001,0.37875,0.37875,0.26875,0.26875,0.1675,0.1675
PL0012A,303.55799999,2016-01-01 00:00:00,-10.6,93.0,"Calm, no wind",0.0,60.41,0.0,0.0,9.71,23.16,35.13,6.77,14.95,26.74,12.5,31.95,6.17,19.22,28.8,9.98,33.55,3.96,24.34,21.43,10.04,26.22,2.79,31.08,22.74,8.23,0.8975,0.8975,0.5687500000000001,0.5687500000000001,0.37875,0.37875,0.26875,0.26875,0.1675,0.1675
PL0012A,289.82799999,2016-01-01 01:00:00,-11.0,92.0,"Calm, no wind",0.0,60.41,0.0,0.0,9.71,23.16,35.13,6.77,14.95,26.74,12.5,31.95,6.17,19.22,28.8,9.98,33.55,3.96,24.34,21.43,10.04,26.22,2.79,31.08,22.74,8.23,0.8975,0.8975,0.5687500000000001,0.5687500000000001,0.37875,0.37875,0.26875,0.26875,0.1675,0.1675
PL0012A,279.99799999,2016-01-01 02:00:00,-11.0,93.0,Wind blowing from the east-northeast,1.0,60.41,0.0,0.0,9.71,23.16,35.13,6.77,14.95,26.74,12.5,31.95,6.17,19.22,28.8,9.98,33.55,3.96,24.34,21.43,10.04,26.22,2.79,31.08,22.74,8.23,0.7949999999999999,0.8500000000000001,0.84,0.59,0.665,0.42,0.505,0.37,0.41,0.19
PL0012A,289.16699999,2016-01-01 03:00:00,-11.6,93.0,Wind blowing from the north-east,1.0,60.41,0.0,0.0,9.71,23.16,35.13,6.77,14.95,26.74,12.5,31.95,6.17,19.22,28.8,9.98,33.55,3.96,24.34,21.43,10.04,26.22,2.79,31.08,22.74,8.23,0.63,0.91,0.69,0.75,0.34,0.5,0.15,0.52,0.04,0.23
PL0012A,284.53399999,2016-01-01 04:00:00,-11.7,92.0,"Calm, no wind",0.0,60.41,0.0,0.0,9.71,23.16,35.13,6.77,14.95,26.74,12.5,31.95,6.17,19.22,28.8,9.98,33.55,3.96,24.34,21.43,10.04,26.22,2.79,31.08,22.74,8.23,0.8975,0.8975,0.5687500000000001,0.5687500000000001,0.37875,0.37875,0.26875,0.26875,0.1675,0.1675
PL0012A,269.372,2016-01-01 05:00:00,-12.0,93.0,"Calm, no wind",0.0,60.41,0.0,0.0,9.71,23.16,35.13,6.77,14.95,26.74,12.5,31.95,6.17,19.22,28.8,9.98,33.55,3.96,24.34,21.43,10.04,26.22,2.79,31.08,22.74,8.23,0.8975,0.8975,0.5687500000000001,0.5687500000000001,0.37875,0.37875,0.26875,0.26875,0.1675,0.1675
PL0012A,290.02699999,2016-01-01 06:00:00,-12.3,93.0,"Calm, no wind",0.0,60.41,0.0,0.0,9.71,23.16,35.13,6.77,14.95,26.74,12.5,31.95,6.17,19.22,28.8,9.98,33.55,3.96,24.34,21.43,10.04,26.22,2.79,31.08,22.74,8.23,0.8975,0.8975,0.5687500000000001,0.5687500000000001,0.37875,0.37875,0.26875,0.26875,0.1675,0.1675
PL0012A,267.28699999,2016-01-01 07:00:00,-12.5,91.0,"Calm, no wind",0.0,60.41,0.0,0.0,9.71,23.16,35.13,6.77,14.95,26.74,12.5,31.95,6.17,19.22,28.8,9.98,33.55,3.96,24.34,21.43,10.04,26.22,2.79,31.08,22.74,8.23,0.8975,0.8975,0.5687500000000001,0.5687500000000001,0.37875,0.37875,0.26875,0.26875,0.1675,0.1675
PL0012A,267.38999999,2016-01-01 08:00:00,-11.0,92.0,Wind blowing from the north-east,1.0,60.41,0.0,0.0,9.71,23.16,35.13,6.77,14.95,26.74,12.5,31.95,6.17,19.22,28.8,9.98,33.55,3.96,24.34,21.43,10.04,26.22,2.79,31.08,22.74,8.23,0.63,0.91,0.69,0.75,0.34,0.5,0.15,0.52,0.04,0.23
PL0012A,268.843,2016-01-01 09:00:00,-8.9,90.0,Wind blowing from the west,1.0,60.41,0.0,0.0,9.71,23.16,35.13,6.77,14.95,26.74,12.5,31.95,6.17,19.22,28.8,9.98,33.55,3.96,24.34,21.43,10.04,26.22,2.79,31.08,22.74,8.23,0.79,0.96,0.43,0.99,0.34,0.99,0.22,0.86,0.15,0.78
